Observation,Myers,Human A,Human B,Human C,Truth,Claude 1 (10/3),Claude 2 (10/11),Claude 3 (10/11),Claude 4 (10/3),Claude 5 (10/11),Claude 6 (10/11),Claude 7 (10/11),Claude Modal,Bing 1 (10/23),Bing 2 (10/23),Bing 3 (10/23),Bing 4 (10/24),Bing 5 (10/23),Bing 6 (10/24) (1),Bing 7 (10/24) (2),Bing Modal,,,Truth,Claude Modal,Bing Modal
“I forgot until now the fact that we gathered in one place together”,S,S,S,S,S,H,H,S,S,C,S,H,S,S,B,S,S,S,S,S,S,,,S,S,S
Gathering,S,S,S,X,S,S,C,C,H,S,C,B,C,B,S,X,S,B,S,S,S,,,S,C,S
"Time at the little red house—small space with informal meetings, super spiritual and vulnerable",S,B,H,B,B,C,C,S,S,S,H,B,S,B,B,B,C,B,B,C,B,,,B,S,B
“everybody in crave showed up with true selves”,S,S,H,H,H,S,H,H,S,H,S,S,S,H,S,H,H,H,H,H,H,,,H,S,H
The power and influence of Michele-- Only took one conversation with her and we bought in to it,H,H,S,H,H,P,S,P,S,P,S,P,P,P,P,P,P,H,P,P,P,,,H,P,P
"Vulnerability—being in a safe place, being authentic",S,S,H,H,H,S,H,S,S,S,C,B,S,S,S,H,H,S,S,S,S,,,H,S,S
"Little red house talks, quickly where people got to all speak about what we believe in spiritually",S,S,C,S,S,X,C,S,S,C,S,H,S,C,C,C,C,C,C,C,C,,,S,S,C
The fact that we felt comfortable enough to share that is really meaningful,S,S,S,H,S,S,H,S,S,S,C,B,S,S,H,S,S,S,S,S,S,,,S,S,S
Vulnerability was meaningful there and lead me to being super vulnerable throughout,S,S,S,H,S,S,H,S,S,H,C,C,S,S,H,H,H,S,S,S,S,,,S,S,S
"Black/African-American experiences—culture shocks, able to address these but not always get the answers",P,C,C,C,C,C,C,C,C,H,P,C,C,C,C,C,C,C,C,C,C,,,C,C,C
"Culture shocks: gather with food, food that everyone eats is not the same, asking the invitees what you would like",S,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,,,C,C,C
“What’s up with the Rabbit Food??”,S,C,C,X,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C
Speakers with more privilede and had more access to resources,P,F,F,P,F,P,F,F,C,F,C,P,F,P,P,F,F,F,F,F,F,,,F,F,F
The way they solved problems made us feel angered that we couldn’t do that,H,X,S,S,S,C,H,P,C,F,C,B,C,H,H,F,F,H,H,F,H,,,S,C,H
We felt like lab rats when the topic of racism came to the forefront,H,C,C,C,C,C,H,P,P,C,C,F,C,S,P,P,P,C,C,H,P,,,C,C,P
The way we were raised as Christian—could not associate drinking in the church,C,C,C,C,C,C,C,C,C,C,H,B,C,C,C,C,C,C,C,C,C,,,C,C,C
Now with Crave we can do things like that “Pints and parables”,S,H,S,S,S,C,C,C,C,C,H,B,C,C,S,C,C,C,C,C,C,,,S,C,C
Beer and wine before dinner,S,X,N,X,X,C,C,C,C,C,H,S,C,C,C,C,C,C,C,C,C,,,X,C,C
"“I always felt heard, I always felt respected”",H,S,H,H,H,S,C,C,C,C,H,S,C,S,S,S,S,S,S,S,S,,,H,C,S
"For the first time, “woah I hear what you’re saying and even though I don’t have the answer I value that”",H,S,S,H,S,S,H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,,,S,S,S
“Come as you are”,S,H,H,H?,H,S,C,S,S,H,H,S,S,S,C,H,S,H,S,H,S,,,H,S,S
Sharing spirituality and feeling where you are in life and what I might believe and how that connects with that,S,S,C,H,H,H,C,S,S,C,S,S,S,C,C,C,C,C,C,C,C,,,H,S,C
Safety in this space: previous experience vs now,S,H,H,X,H,S,H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,,,H,S,S
In crave lets live and learn from each other and grow,H,S,S,H,S,S,H,S,S,H,S,H,S,H,H,H,S,H,S,H,H,,,S,S,H
“we don’t shy away from the discomfort”,S,X,H,X,X,S,H,S,S,H,S,S,S,S,H,H,H,H,S,S,H,,,X,S,H
“To be welcome in a Sunday school class of White people that wanted to hear what you had to say”,P,C,C,H,C,S,C,S,S,S,H,H,S,S,C,S,S,S,S,S,S,,,C,S,S
“Situations that open us up to relationships”,S,S,S,X,S,S,S,S,S,S,H,H,S,S,S,S,S,S,S,S,S,,,S,S,S
People who take the time to listen to our story,S,H,S,H,H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,H,S,S
Ask questions that you may not have felt comfortable about race and gender etc,H,C,C,H,C,S,H,S,S,S,H,S,S,S,S,C,S,C,S,S,S,,,C,S,S
Feels safe enough to ask in ways that you now feel comfortable,S,X,H,H,H,S,H,S,S,S,H,S,S,S,S,S,S,S,S,S,S,,,H,S,S
Never felt judged,S,H,H,H,H,S,H,S,S,S,B,F,S,S,S,S,S,S,S,S,S,,,H,S,S
"No one is out here to hurt anyone, just tryin to learn and get better and do good",H,S,S,H,S,S,H,S,S,S,H,H,S,S,S,H,S,H,S,S,S,,,S,S,S
"Understanding of whether our belief system or culture is different, we’re still on the same journey",C,C,C,C,C,H,C,S,S,C,S,H,S,C,C,C,C,C,C,C,C,,,C,S,C
Let go of the outcomes or specifics and just know that there is a journey,H,X,X,S,X,H,C,S,S,C,S,S,S,H,H,H,H,H,H,H,H,,,X,S,H
How does the idea of being in a safe group translate into supporting your professional life?,S,S,S,H,S,S,H,H,H,H,H,S,H,X,X,X,X,H,H,H,X,,,S,H,X
Vulnerability took away the sense of competition: being able to say I’m not good at this is how you can look at getting better,H,H,H,H,H,S,H,S,S,H,H,S,S,X,H,H,H,H,H,H,H,,,H,S,H
You’re still developing,H,H,H,H,H,H,H,H,H,H,H,S,H,X,H,H,X,H,H,H,H,,,H,H,H
“Gets rid of all the bullsh*t”,X,X,X,X,X,S,H,S,S,H,H,S,S,S,H,H,X,H,H,H,H,,,X,S,H
You don’t have to present or code switch; you get to the real and get better at the real,P,X,S,H,S,S,H,S,S,H,S,H,S,S,H,H,X,H,H,H,H,,,S,S,H
"When we know how to meet people’s needs then we can bridge the gap, when you see and share the vulnerability you can help each other grow",S,S,S,H,S,S,H,S,S,S,P,H,S,S,S,S,X,S,H,S,S,,,S,S,S
Other crave leaders have helped me so much,H,H,S,S,S,S,S,S,S,S,P,H,S,S,S,S,X,S,S,S,S,,,S,S,S
We have all built crave together over the years,S,H,S,B,S,S,S,S,S,B,H,B,S,B,B,S,X,S,S,S,S,,,S,S,S
Help from peer to peer vs only from the expert giving the information,S,S,H,H,H,S,S,S,S,S,S,P,S,H,S,S,X,S,S,S,S,,,H,S,S
“Connection with our group that really felt like it was something different”,S,S,S,S,S,S,S,S,S,S,F,P,S,S,S,S,X,S,S,S,S,,,S,S,S
“I loved my group… when it came to my leaders we became like sisters and brothers”,S,S,S,S,S,S,S,S,S,S,H,P,S,S,S,S,X,S,S,S,S,,,S,S,S
